Date,Name,Duration,Distance,Speed,UpHill,DownHill,type,A_Comment,A_Duration,A_Distance
2024-04-23,gedera betshenesh and return,3.23,54.18,16.8,379.0,379.0,tour_recorded,Bullshit,2222.0,3.0
2024-04-20,Mountain Bike Ride,2.55,42.85,16.8,387.0,383.0,tour_recorded,,,
2024-04-18,Mountain Bike Ride,1.63,27.91,17.1,239.0,243.0,tour_recorded,Cycling with MT8,3.0,100.0
2024-04-15,בית שמש גדרה,3.14,52.04,16.6,438.0,418.0,tour_recorded,,,
2024-04-13,גדרה פלמחים דרך שטח הצנחה,2.63,49.17,18.7,377.0,395.0,tour_recorded,,,
2024-04-08,Road Ride,0.85,16.14,19.0,142.0,144.0,tour_recorded,,,
2024-04-06,Road Ride,1.35,22.45,16.6,165.0,201.0,tour_recorded,,,
2024-04-04,Road Ride,1.29,21.71,16.9,179.0,179.0,tour_recorded,Test,,
2024-04-03,Road Ride,1.16,21.08,18.2,155.0,160.0,tour_recorded,,,
2024-03-30,Road Ride,2.34,38.52,16.5,336.0,311.0,tour_recorded,FFFF,1.0,1.0
2024-03-28,Road Ride,1.19,21.03,17.7,187.0,181.0,tour_recorded,,,
2024-03-23,Road Ride,2.75,42.89,15.6,299.0,294.0,tour_recorded,,,
2024-03-22,Road Ride,1.45,21.95,15.1,175.0,189.0,tour_recorded,,,
2024-03-20,Road Ride,1.6,25.5,16.0,223.0,209.0,tour_recorded,,,
2024-03-16,Road Ride,2.47,40.42,16.4,287.0,277.0,tour_recorded,,,
2024-03-15,Road Ride,1.2,22.44,18.7,197.0,193.0,tour_recorded,,,
2024-03-13,Road Ride,1.6,27.05,16.9,213.0,213.0,tour_recorded,,,
2024-03-09,Road Ride,2.33,37.58,16.2,316.0,303.0,tour_recorded,,,
2024-03-07,Road Ride,1.49,23.3,15.6,188.0,191.0,tour_recorded,,,
2024-03-05,Road Ride,1.1,19.55,17.8,164.0,156.0,tour_recorded,,,
2024-03-02,Road Ride,2.23,33.24,14.9,263.0,258.0,tour_recorded,,,
2024-02-29,Road Ride,1.31,23.34,17.9,189.0,192.0,tour_recorded,,,
2024-02-28,Road Ride,1.34,23.48,17.5,207.0,204.0,tour_recorded,,,
2024-02-26,Road Ride,1.39,23.47,16.9,176.0,182.0,tour_recorded,,,
2024-02-21,Road Ride,1.47,21.36,14.5,187.0,186.0,tour_recorded,,,
2024-02-17,Road Ride,2.47,43.87,17.8,413.0,395.0,tour_recorded,,,
2024-02-15,Road Ride,0.91,16.17,17.8,145.0,184.0,tour_recorded,,,
2024-02-10,Road Ride,2.63,45.0,17.1,462.0,459.0,tour_recorded,,,
2024-02-07,Road Ride,1.32,22.67,17.2,214.0,205.0,tour_recorded,,,
2024-01-20,Road Ride,1.84,34.06,18.5,224.0,295.0,tour_recorded,,,
2024-01-06,Road Ride,1.9,31.53,16.6,313.0,305.0,tour_recorded,,,
2023-12-30,Road Ride,2.21,37.98,17.2,330.0,345.0,tour_recorded,,,
2023-12-29,Road Ride,1.69,32.56,19.2,319.0,328.0,tour_recorded,,,
2023-12-27,Road Ride,1.3,23.12,17.8,252.0,235.0,tour_recorded,,,
2023-12-23,Road Ride,2.32,33.72,14.5,382.0,1022.0,tour_recorded,Arad Masada Tour,4.0,31.0
2023-12-20,Road Ride,1.27,23.52,18.6,252.0,258.0,tour_recorded,,,
2023-12-16,Road Ride,1.99,35.14,17.6,318.0,329.0,tour_recorded,Cycling with Mali to Kfar Gvirol and Mrar,0.0,0.0
2023-12-14,Road Ride,1.85,29.61,16.0,283.0,290.0,tour_recorded,,,
2023-12-12,Road Ride,1.22,22.53,18.5,254.0,250.0,tour_recorded,,,
2023-12-10,Road Ride,1.64,27.57,16.8,267.0,258.0,tour_recorded,,,
2023-12-08,three bridges,2.16,32.46,15.0,345.0,351.0,tour_recorded,,,
2023-12-05,Road Ride,0.58,10.78,18.7,88.0,57.0,tour_recorded,,,
2023-12-02,Road Ride,0.55,8.88,16.1,85.0,68.0,tour_recorded,,,
2023-12-01,Yesodot,1.3,21.57,16.6,261.0,256.0,tour_recorded,,,
2023-11-25,"Around Yavne,  Ben, Moshe",2.28,35.25,15.4,267.0,279.0,tour_recorded,,,
2023-11-21,to zula and back,1.91,32.75,17.2,315.0,346.0,tour_recorded,,,
2023-11-18,Road Ride,2.31,38.89,16.8,316.0,317.0,tour_recorded,,,
2023-11-17,Road Ride,1.3,22.35,17.2,221.0,217.0,tour_recorded,,,
2023-11-13,Road Ride,1.15,20.99,18.2,194.0,187.0,tour_recorded,,,
2023-11-04,Road Ride,2.64,24.64,9.3,317.0,267.0,tour_recorded,,,
2023-11-02,Road Ride,1.36,25.47,18.8,225.0,223.0,tour_recorded,,,
2023-10-30,Hike,1.45,25.04,17.2,208.0,213.0,tour_recorded,,,
2023-10-28,Road Ride,1.86,30.37,16.4,285.0,274.0,tour_recorded,,,
2023-10-27,Road Ride,1.12,20.99,18.7,195.0,195.0,tour_recorded,,,
2023-10-24,Road Ride,3.22,58.09,18.1,393.0,2272.0,tour_recorded,,,
2023-10-23,Road Ride,1.31,22.0,16.8,219.0,215.0,tour_recorded,,,
2023-10-21,Road Ride,1.94,30.65,15.8,310.0,316.0,tour_recorded,,,
2023-10-19,Road Ride,1.37,22.81,16.6,267.0,251.0,tour_recorded,,,
2023-10-18,Road Ride,1.31,21.49,16.5,336.0,326.0,tour_recorded,,,
2023-10-16,Road Ride,1.44,20.9,14.5,297.0,211.0,tour_recorded,,,
2023-09-02,Road Ride,1.92,33.96,17.7,291.0,292.0,tour_recorded,,,
2023-08-31,Road Ride,1.14,21.57,18.8,186.0,187.0,tour_recorded,,,
2023-08-29,Road Ride,1.38,24.57,17.8,219.0,218.0,tour_recorded,,,
2023-08-26,Road Ride,2.37,38.29,16.2,301.0,299.0,tour_recorded,,,
2023-08-24,Road Ride,1.58,28.62,18.1,212.0,208.0,tour_recorded,,,
2023-08-22,Nordic Walking Tour,1.31,21.57,16.5,178.0,181.0,tour_recorded,,,
2023-08-19,Road Ride,2.44,38.7,15.8,435.0,449.0,tour_recorded,,,
2023-08-16,Road Ride,1.7,28.48,16.8,250.0,259.0,tour_recorded,,,
2023-08-12,Road Ride,2.24,39.78,17.8,358.0,361.0,tour_recorded,,,
2023-08-05,Road Ride,3.15,45.4,14.4,218.0,264.0,tour_recorded,,,
2023-08-02,גדרה אשדוד ים עם ניר,2.25,36.06,16.0,338.0,351.0,tour_recorded,,,
2023-07-31,Road Ride,1.81,30.53,16.9,257.0,259.0,tour_recorded,,,
2023-07-29,Road Ride,2.66,39.63,14.9,348.0,354.0,tour_recorded,,,
2023-07-27,Road Ride,1.51,27.31,18.1,217.0,222.0,tour_recorded,,,
2023-07-12,Road Ride סיבוב מהיר לבית גמליאל,1.06,21.06,19.9,148.0,152.0,tour_recorded,,,
2023-07-10,לחירבה ליד ישעי ןחזרה,2.75,47.62,17.3,415.0,415.0,tour_recorded,,,
2023-07-08,Road Ride,3.28,48.19,14.7,324.0,339.0,tour_recorded,,,
2023-07-04,רכיבת ערב עם אמרי 4.7.23,1.98,35.79,18.1,315.0,303.0,tour_recorded,,,
2023-07-01,Road Ride,2.52,39.96,15.9,298.0,296.0,tour_recorded,,,
2023-06-29,Road Ride,1.83,34.16,18.7,247.0,263.0,tour_recorded,,,
2023-06-26,דרך מנדטורית. זולה יסודות וחזרה,2.35,39.75,16.9,374.0,361.0,tour_recorded,,,
2023-06-24,גדרה-גבעת ברנר-מזכרת בתיה-תל יאקוט-גדרה,2.45,36.8,15.0,310.0,305.0,tour_recorded,,,
